,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
2597,2597,2597,899070,2021,Sharjah,March,Sunday,Evening,fourth week,Consecutive,Not leaving enough distance,Al Dhaid Sharjah Street,Residential area,Sharjah International Airport,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,17,Male,120,4,There is no,Not on or by (20) meters of a,1
2598,2598,2598,899071,2021,Abu Dhabi,Dec,Thursday,At noon,The first week,Shock,Overcoming the red light signal - the arrow signal,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,51,Male,100,4,There is no,Vertical cross intersection,1
2599,2599,2599,899072,2021,Abu Dhabi,June,Sunday,Evening,the third week,Be shocked,Overcoming the red light signal,Intersection of the Arabian Gulf - Al Saada,garden,Supervisor,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,31,Male,100,4,There is no,Not on or by (20) meters of a,1
2600,2600,2600,899073,2021,Sharjah,June,Sunday,Evening,The first week,Run,Preoccupation with the road while driving the vehicle in any way,Lake Corniche Street,Residential area,Magazine 1,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,24,Male,60,3,He crosses not on transit lines,Not on or by (20) meters of a,1
2601,2601,2601,899074,2021,Sharjah,June,Thursday,Before noon,the third week,Consecutive,Not leaving enough distance,Sheikh Mohammed bin Zayed Street,Residential area,The red patch,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Bike,Simple,23,Female,120,4,There is no,Not on or by (20) meters of a,1
2602,2602,2602,899075,2021,Abu Dhabi,October,Wednesday,In the afternoon,the third week,Shock,Not adhering to the mandatory itinerary,Khalifa City Bridge,Residential area,The city of Shakhbout,vertigo,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,30,Male,60,3,There is no,vertigo,1
2603,2603,2603,899076,2021,Abu Dhabi,Dec,Tuesday,Evening,the third week,Shock,Overcoming the red light signal,Reem Island,Mosque,Reem Island,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,36,Female,80,3,There is no,Vertical cross intersection,1
2604,2604,2604,899077,2021,Sharjah,May,Friday,At noon,fourth week,Non -moving,Negligence and lack of attention,Sharjah Ring Street,Governmental,The red patch,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,21,Female,100,3,There is no,Not on or by (20) meters of a,1
2605,2605,2605,899078,2021,Abu Dhabi,July,Tuesday,At noon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Popularism,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,3,Male,40,1,He crosses not on transit lines,Not on or by (20) meters of a,1
2606,2606,2606,899079,2021,Abu Dhabi,July,Saturday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Arian,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,23,Male,140,3,There is no,Not on or by (20) meters of a,1
2607,2607,2607,899080,2021,Abu Dhabi,Dec,Sunday,In the afternoon,fourth week,Run,Negligence and lack of attention,Al -Felt Street (Nin),Commercial area,Zayed City (Abu Dhabi),Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,6,Male,80,3,He crosses not on transit lines,Not on or by (20) meters of a,1
2608,2608,2608,899081,2021,Abu Dhabi,June,Sunday,In the afternoon,second week,Shock,Enter a major road without making sure that it is free,Eastern Street (Al Traffic) (Four),Commercial area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,27,Male,100,4,There is no,Not on or by (20) meters of a,1
2609,2609,2609,899082,2021,Ras Al Khaimah,November,Thursday,At noon,The first week,Be shocked,Enter a major road without making sure that it is free,Asma intersection,Others,Inconsistent,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,28,Male,80,2,There is no,Vertical cross intersection,1
2610,2610,2610,899083,2021,Ras Al Khaimah,Dec,Thursday,Before noon,second week,Be shocked,Enter a major road without making sure that it is free,Mohammed bin Salem Street near the Arab port,External road,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,28,Female,100,2,There is no,Hole,1
2611,2611,2611,899084,2021,Ras Al Khaimah,August,Tuesday,At noon,The fifth week,Shock,Not leaving enough distance,Al -Faisal Street near the agencies,Petrol station,Old Ras Al Khaimah,public road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,29,Female,100,3,There is no,Not on or by (20) meters of a,1
2612,2612,2612,899085,2021,Abu Dhabi,November,Wednesday,Before noon,The first week,Be shocked,Overcoming the red light signal,Riyadh city,Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,34,Male,80,4,There is no,Multi -legs intersection,1
2613,2613,2613,899086,2021,Abu Dhabi,July,Wednesday,At noon,the third week,Be shocked,Overcoming the red light signal,The intersection of the cement factory signals,Industrial area,Industrial,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,35,Male,80,3,There is no,Multi -legs intersection,1
2614,2614,2614,899087,2021,Abu Dhabi,October,Friday,Evening,second week,Deterioration,Speed without taking into account the road conditions,There is no definition,Island,Sa'adiat Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,32,Male,120,4,There is no,Not at intersection,1
2615,2615,2615,899088,2021,Fujairah,June,Tuesday,At noon,the third week,Be shocked,Enter a major road without making sure that it is free,Al -Akkamiya Interior Street,Residential area,Dibba Al -Fujairah / Al -Awkamiya area,Individual,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,51,Male,40,1,There is no,Not on or by (20) meters of a,1
2616,2616,2616,899089,2021,Abu Dhabi,Dec,Friday,Evening,second week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Sultan Bin Zayed the First Street (Thirty Two),Others,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,21,Male,80,4,There is no,Not at intersection,1
2617,2617,2617,899090,2021,Abu Dhabi,July,Thursday,In the afternoon,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,There is no definition,Industrial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,20,Male,60,2,He crosses not on transit lines,Not on or by (20) meters of a,1
2618,2618,2618,899091,2021,Sharjah,August,Friday,Evening,the third week,Deterioration,Sudden deviation,Hamriyah,Residential area,Hamriyah,Individual,day,Wicked (Bad),No Clouds,Sand,passenger,Rapid in the back seat,Simple,36,Male,40,1,There is no,Others,1
2619,2619,2619,899092,2021,Abu Dhabi,November,Monday,At noon,the third week,Shock,Not leaving enough distance,Hamdan Bin Mohammed Street(Five),Commercial area,Central,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,35,Female,80,4,There is no,Not at intersection,1
2620,2620,2620,899093,2021,Abu Dhabi,September,Monday,At noon,the third week,Be shocked,Failure to adhere to traffic signs,Riyadh city,Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,43,Female,40,1,There is no,Vertical cross intersection,1
2621,2621,2621,899094,2021,Abu Dhabi,February,Saturday,Evening,the third week,A fixed body was shocked outside the road,Sudden deviation,An internal street,Residential area,Maqam,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,19,Male,60,2,There is no,Not on or by (20) meters of a,1
2622,2622,2622,899095,2021,Abu Dhabi,February,Saturday,Evening,fourth week,Shock,Enter a major road without making sure that it is free,Abu Dhabi Road - Al Ain,Residential area,Sealing bridge,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,29,Female,160,3,There is no,Not on or by (20) meters of a,1
2623,2623,2623,899096,2021,Ras Al Khaimah,June,Monday,Evening,the third week,Be shocked,Sudden deviation,Al -Munai’i Street,Mosque,Al -Munai’i,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,22,Female,60,1,There is no,Not on or by (20) meters of a,1
2624,2624,2624,899097,2021,Abu Dhabi,June,Sunday,Evening,the third week,Be shocked,Overcoming the red light signal,Intersection of the Arabian Gulf - Al Saada,garden,Supervisor,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,25,Male,100,4,There is no,Not on or by (20) meters of a,1
2625,2625,2625,899098,2021,Abu Dhabi,Dec,Tuesday,In the afternoon,second week,Shock,Overcoming the red light signal,Sultan Bin Zayed the First Street (Thirty Two),Governmental,There is no definition of regions,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,24,Female,80,4,There is no,Vertical cross intersection,1
2626,2626,2626,899099,2021,Sharjah,Dec,Saturday,Evening,fourth week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Maliha Street,External road,Sword,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,33,Male,120,3,There is no,Not on or by (20) meters of a,1
2627,2627,2627,899100,2021,Abu Dhabi,September,Sunday,Evening,the third week,Shock,Overcoming the red light signal,corneche Street,Commercial area,The port,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,27,Male,60,4,There is no,Vertical cross intersection,1
2628,2628,2628,899101,2021,Abu Dhabi,January,Friday,At noon,fourth week,Shock,Not to make the road / not to give the brigades,Inner Street No. (Three),Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,10,Male,60,2,There is no,A meeting of half -vertical roads,1
2629,2629,2629,899102,2021,Ras Al Khaimah,June,Tuesday,Evening,fourth week,Shock,Negligence and lack of attention,Kadra Street - Dafta,External road,Disgust,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,21,Male,120,2,There is no,Not on or by (20) meters of a,1
2630,2630,2630,899103,2021,Abu Dhabi,May,Sunday,Evening,fourth week,Be shocked,Not adhering to the mandatory itinerary,Reem Island,Commercial area,Reem Island,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,22,Female,80,4,There is no,Vertical cross intersection,1
2631,2631,2631,899104,2021,Abu Dhabi,April,Friday,In the afternoon,fourth week,Be shocked,Not adhering to the mandatory itinerary,Arabian Gulf Street(Thirty),Commercial area,The exhibition land bridge,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,42,Male,120,4,There is no,Not on or by (20) meters of a,1
2632,2632,2632,899105,2021,Abu Dhabi,November,Sunday,Before noon,second week,Shock,Not leaving enough distance,Sheikh Khalifa Bridge,Tunnel / Bridge,Sa'adiat Island,bridge,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,38,Male,100,4,There is no,Not at intersection,1
2633,2633,2633,899106,2021,Abu Dhabi,August,Monday,Evening,The first week,Shock,Overcoming the red light signal - the arrow signal,Peace Street (Eight),Governmental,There is no definition of regions,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,30,Male,80,4,There is no,A meeting of half -vertical roads,1
2634,2634,2634,899107,2021,Abu Dhabi,July,Friday,Before noon,fourth week,Shock,Preoccupation with the road while driving the vehicle using the phone,Yas Mall,Tunnel / Bridge,Yass Island,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,34,Male,140,4,There is no,Not on or by (20) meters of a,1
2635,2635,2635,899108,2021,Abu Dhabi,July,Sunday,Before noon,the third week,Run,Driving the vehicle under the influence of narcotic substances or mental effects or,There is no definition,Commercial area,Between the two bridges,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,50,Male,40,2,Familiar,Not at intersection,1
2636,2636,2636,899109,2021,Abu Dhabi,November,Thursday,Evening,the third week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Residential area,Tall,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,44,Female,40,2,There is no,vertigo,1
2637,2637,2637,899110,2021,Abu Dhabi,October,Monday,Before noon,the third week,Cross -100,Not adhering to the mandatory itinerary,Hell Road,External road,Intimate bridge,Dhuatatin Road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,38,Male,100,2,There is no,Not on or by (20) meters of a,1
2638,2638,2638,899111,2021,Abu Dhabi,June,Wednesday,At noon,the third week,Run,Al -Aburvi is a place of infantry for pedestrians,Armored road,Commercial area,Industrial armored bridge,Intersection,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,30,Male,60,3,He crosses not on transit lines,Vertical cross intersection,1
2639,2639,2639,899112,2021,Abu Dhabi,November,Tuesday,Before noon,fourth week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Umm Al -Nar Road / Shahama,External road,Khalifa City (a),Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,42,Female,60,2,There is no,Not on or by (20) meters of a,1
2640,2640,2640,899113,2021,Abu Dhabi,May,Saturday,Evening,The fifth week,Shock,Driving without a driver's license at all,Ghiasi Shari,Residential area,Ghiasi,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,12,Male,40,1,There is no,Not on or by (20) meters of a,1
2641,2641,2641,899114,2021,Ajman,June,Sunday,Before noon,fourth week,A fixed body shocked the road,Negligence and lack of attention,Khalifa Bin Zayed Street,Tunnel / Bridge,Rashidiya,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,22,Male,40,0,There is no,Not on or by (20) meters of a,1
2642,2642,2642,899115,2021,Abu Dhabi,January,Friday,At noon,the third week,Cross -100,Not adhering to the mandatory itinerary,Sweihan Road,Residential area,Enhanced,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Bike,Medium,6,Male,60,2,There is no,Vertical cross intersection,1
2643,2643,2643,899116,2021,Abu Dhabi,October,Friday,Before noon,The fifth week,Run,Speed without taking into account the road conditions,Banias Street (Al Najd) (Sex),Commercial area,Central,public road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,36,Female,80,3,He crosses not on transit lines,Not at intersection,1
2644,2644,2644,899117,2021,Abu Dhabi,February,Thursday,Evening,second week,Run,Preoccupation with the road while driving the vehicle in any way,Yas Street One,Residential area,Yass Island,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,32,Male,60,2,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
2645,2645,2645,899118,2021,Ajman,January,Saturday,Before noon,second week,Run,Negligence and lack of attention,unknown,Commercial area,Mashirf Commercial,parking,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,27,Male,30,0,He crosses not on transit lines,Not on or by (20) meters of a,1
2646,2646,2646,899119,2021,Abu Dhabi,October,Friday,Before noon,The fifth week,Shock,Not leaving enough distance,Zayed City Street (New),Petrol station,Zayed City,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,54,Male,140,2,There is no,Not on or by (20) meters of a,1
2647,2647,2647,899120,2021,Abu Dhabi,April,Friday,At noon,second week,Be shocked,Overcoming the red light signal,Zayed First Street,garden,Basra,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,41,Male,80,3,There is no,Multi -legs intersection,1
2648,2648,2648,899121,2021,Sharjah,April,Thursday,Evening,The first week,Shock,Not leaving enough distance,Al Dhaid Sharjah Street,External road,Islamic Law,Intersection,Night - without lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,27,Male,80,1,There is no,Not on or by (20) meters of a,1
2649,2649,2649,899122,2021,Abu Dhabi,April,Saturday,At noon,second week,Shock,Overcoming the red light signal - the arrow signal,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,the airport,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,36,Female,80,4,There is no,Vertical cross intersection,1
2650,2650,2650,899123,2021,Sharjah,November,Wednesday,Evening,second week,Run,Negligence and lack of attention,Nahda Street,Residential area,Nomination,parking,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,21,Male,10,2,There is no,Not on or by (20) meters of a,1
2651,2651,2651,899124,2021,Abu Dhabi,June,Monday,At noon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,General Street (Abu Dhabi - Commodities),External road,Commodity,Double road,day,Wicked (Bad),No Clouds,dry,passenger,There is no passenger,Medium,26,Male,160,3,There is no,Not on or by (20) meters of a,1
2652,2652,2652,899125,2021,Sharjah,April,Tuesday,Evening,the third week,Run,Not to give priority to the infantry crossing,Wasit Street,Residential area,Ramtha,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,63,Female,80,3,He crosses not on transit lines,Not on or by (20) meters of a,1
2653,2653,2653,899126,2021,Umm Al Quwain,September,Wednesday,Before noon,The first week,Be shocked,Preoccupation with the road while driving the vehicle in any way,International Federation Street,Residential area,Al -Salamah area a,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,35,Female,20,1,There is no,Not on or by (20) meters of a,1
2654,2654,2654,899127,2021,Abu Dhabi,June,Wednesday,At noon,the third week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Industrial armored bridge,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,44,Male,60,2,There is no,Not on or by (20) meters of a,1
2655,2655,2655,899128,2021,Abu Dhabi,October,Friday,In the afternoon,The fifth week,Run,Preoccupation with the road while driving the vehicle in any way,An internal street,Residential area,magnanimity,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,5,Male,40,1,He crosses not on transit lines,Not on or by (20) meters of a,1
2656,2656,2656,899129,2021,Abu Dhabi,May,Thursday,Before noon,fourth week,Shock,Failure to adhere to traffic signs,Riyadh city,Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,35,Male,60,2,There is no,Vertical cross intersection,1
2657,2657,2657,899130,2021,Abu Dhabi,June,Wednesday,At noon,fourth week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,International airport roads,an airport,Emiri airport,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,28,Male,80,2,There is no,vertigo,1
2658,2658,2658,899131,2021,Abu Dhabi,Dec,Thursday,At noon,The first week,Shock,Overcoming the red light signal - the arrow signal,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,49,Male,100,4,There is no,Vertical cross intersection,1
2659,2659,2659,899132,2021,Abu Dhabi,August,Tuesday,Evening,fourth week,Deterioration,Not adhering to the mandatory itinerary,Casablanca roundabout,Residential area,Al -Mijiei,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,23,Male,80,3,There is no,Not on or by (20) meters of a,1
2660,2660,2660,899133,2021,Abu Dhabi,June,Wednesday,Before noon,The first week,Consecutive,Not leaving enough distance,Zayed Bin Sultan Street (General),Commercial area,Jerk,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,28,Female,100,3,There is no,Not at intersection,1
2661,2661,2661,899134,2021,Abu Dhabi,July,Wednesday,Evening,fourth week,Shock,Overcoming the red light signal - the arrow signal,IPFiveA Zayed the First Intersection - Arabian Gulf,Petrol station,Khalidiya,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,37,Female,100,4,There is no,Vertical cross intersection,1
2662,2662,2662,899135,2021,Ras Al Khaimah,May,Sunday,In the afternoon,fourth week,Be shocked,Negligence and lack of attention,Suhaila Street,garden,Stagnation,Other (select),day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,23,Male,60,1,There is no,A meeting of half -vertical roads,1
2663,2663,2663,899136,2021,Abu Dhabi,March,Friday,Evening,the third week,Run,Preoccupation with the road while driving the vehicle in any way,There is no definition,Governmental,Industrial Archbishop,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,40,Male,60,2,He crosses not on transit lines,Hole,1
2664,2664,2664,899137,2021,Abu Dhabi,October,Thursday,At noon,fourth week,Shock,Return back without making sure that the road is free,There is no definition,Commercial area,Between the two bridges,parking,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,23,Male,60,2,There is no,Not at intersection,1
2665,2665,2665,899138,2021,Abu Dhabi,March,Saturday,At noon,second week,Shock,Sudden deviation,There is no definition,Industrial area,Industrial Archbishop,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,42,Male,40,3,There is no,vertigo,1
2666,2666,2666,899139,2021,Abu Dhabi,April,Tuesday,In the afternoon,second week,Shock,Overcoming the red light signal - the arrow signal,Zayed Bin Sultan Street (General),Residential area,Objectionable,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,47,Male,80,3,There is no,Vertical cross intersection,1
2667,2667,2667,899140,2021,Abu Dhabi,April,Thursday,At noon,fourth week,Consecutive,Not leaving enough distance,Banias Street (Al Najd) (Sex),Commercial area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,46,Male,60,4,There is no,Not on or by (20) meters of a,1
2668,2668,2668,899141,2021,Sharjah,Dec,Saturday,At noon,second week,Shock,Not leaving enough distance,Sharjah Ring Street,External road,Seventeenth Industrial,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,39,Male,100,3,There is no,Not on or by (20) meters of a,1
2669,2669,2669,899142,2021,Ras Al Khaimah,October,Tuesday,Evening,fourth week,Shock,Not adhering to the mandatory itinerary,Al -Ittihad Street from Al -Sarramic Roundabout to Morgan Borders,Others,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,35,Male,100,3,There is no,Not at intersection,1
2670,2670,2670,899143,2021,Abu Dhabi,August,Friday,At noon,The first week,Cross -100,Overcoming the red light signal - the arrow signal,IPThirtyThreeB Al Falah intersection - Arabian Gulf,Commercial area,Ventricle,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,38,Male,80,3,There is no,Vertical cross intersection,1
2671,2671,2671,899144,2021,Abu Dhabi,August,Sunday,Evening,The fifth week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Khalifa Bin Zayed Street I,Industrial area,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,51,Male,100,3,There is no,Not at intersection,1
2672,2672,2672,899145,2021,Abu Dhabi,September,Wednesday,Before noon,second week,Be shocked,Not to make the road / not to give the brigades,Abu Dhabi Road - Al Ain,Residential area,Al Wathba (East + West),vertigo,day,curve,No Clouds,dry,passenger,A passenger in the front seat,Medium,34,Male,60,2,There is no,Not on or by (20) meters of a,1
2673,2673,2673,899146,2021,Abu Dhabi,January,Friday,At noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Hamdan bin Mohammed Street (Al Ain),Residential area,Fold,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,20,Male,80,3,There is no,Not at intersection,1
2674,2674,2674,899147,2021,Abu Dhabi,Dec,Friday,Before noon,fourth week,Shock,Not adhering to the mandatory itinerary,General Street (Abu Dhabi - Commodities),Petrol station,Funny,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,61,Male,160,4,There is no,Not on or by (20) meters of a,1
2675,2675,2675,899148,2021,Abu Dhabi,January,Sunday,In the afternoon,The first week,Shock,Enter a major road without making sure that it is free,Al Ain Street - Abuiriya,External road,Abu Kira,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,11,Male,140,2,There is no,Hole,1
2676,2676,2676,899149,2021,Abu Dhabi,May,Sunday,Evening,second week,Cross -100,Enter a major road without making sure that it is free,Al -Mafraq Al -Shawamik Street,Residential area,The shampoo,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,11,Male,40,1,There is no,Not on or by (20) meters of a,1
2677,2677,2677,899150,2021,Abu Dhabi,Dec,Thursday,In the afternoon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Tunnel / Bridge,Al -Shamekha Bridge,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,4,Female,80,3,There is no,Not on or by (20) meters of a,1
2678,2678,2678,899151,2021,Sharjah,June,Friday,Evening,second week,Consecutive,Not leaving enough distance,Sheikh Mohammed bin Zayed Street,Residential area,The red patch,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,42,Male,120,3,There is no,Not on or by (20) meters of a,1
2679,2679,2679,899152,2021,Abu Dhabi,Dec,Sunday,In the afternoon,fourth week,Shock,Negligence and lack of attention,Mina Street(Three),Commercial area,The port,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,40,Female,40,1,There is no,Not on or by (20) meters of a,1
2680,2680,2680,899153,2021,Abu Dhabi,January,Tuesday,Before noon,the third week,Shock,Overcoming the red light signal,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,47,Male,80,4,There is no,Vertical cross intersection,1
2681,2681,2681,899154,2021,Abu Dhabi,September,Monday,At noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Hawi bridge,Residential area,The city of Shakhbout,Individual,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,24,Male,60,2,There is no,Not on or by (20) meters of a,1
2682,2682,2682,899155,2021,Abu Dhabi,Dec,Monday,At noon,fourth week,Shock,Not leaving enough distance,Sheikh Maktoum Bin Rashid Street,External road,Toxic,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,31,Male,140,4,There is no,Not on or by (20) meters of a,1
2683,2683,2683,899156,2021,Abu Dhabi,May,Monday,Evening,fourth week,Be shocked,Enter a major road without making sure that it is free,There is no definition,Commercial area,Industrial Archbishop,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,41,Male,60,3,There is no,vertigo,1
2684,2684,2684,899157,2021,Ras Al Khaimah,October,Monday,In the afternoon,The first week,Shock,Not adhering to the mandatory itinerary,Emirates Street Transit Street,Others,Stagnation,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,29,Male,120,3,There is no,Not at intersection,1
2685,2685,2685,899158,2021,Abu Dhabi,November,Sunday,Evening,second week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,Al Wathba (East + West),public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,20,Male,40,2,There is no,Not on or by (20) meters of a,1
