,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
2205,2205,90946,114544,Sharjah / Eastern Region,Civil Defense Center - Kalba,Police and traffic,6/27/2018,2018/06/27-11:50,2018/06/27-12:11,2018/06/27-12:15,6/27/2018 12:40,2018/06/27-12:45,2018/06/27-13:10,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,"Alfayen Street, the road leading to Wadi Mai",Rescue and transfer injured people,Missing,Dust and wind,Crowded,Normal,basic,Traffic accident,3,0,0,0
2206,2206,90993,114598,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,6/28/2018,2018/06/28-23:54,2018/06/29-00:06,2018/06/29-00:08,6/29/2018 0:10,2018/06/29-00:20,2018/06/29-00:44,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Sheikh Khalifa Street,Inspection,Missing,No Clouds,natural,unclassified,Limited,it is not determined yet,,,,
2207,2207,90994,114599,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,6/28/2018,2018/06/28-23:54,2018/06/29-00:06,2018/06/29-00:08,6/29/2018 0:10,2018/06/29-00:20,2018/06/29-00:44,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Sheikh Khalifa Street,Inspection,Missing,No Clouds,natural,unclassified,Limited,it is not determined yet,,,,
2208,2208,91070,114677,Dubai,Jebel Ali Center,Police and traffic,7/1/2018,2018/07/01-14:28,2018/07/01-14:37,2018/07/01-14:45,7/1/2018 14:50,2018/07/01-15:19,2018/07/01-15:24,Transportation accidents,A collision resulted in a fire,Cars,Means of transport,Methods and transport facilities,Sheikh Zayed Street opposite Danube - Batjat Abu Dhabi,Fire fighting and infected with an injured,Missing,No Clouds,natural,very important,basic,it is not determined yet,3,0,0,0
2209,2209,91078,114686,Ajman,Civil Defense Center - Administration,Police and traffic,7/1/2018,2018/07/01-22:27,2018/07/01-22:31,2018/07/01-22:48,7/1/2018 22:52,2018/07/01-22:53,2018/07/01-22:56,Transportation accidents,Clash,Missing,Means of transport,Methods and transport facilities,The new industrial is under the Al Maktoum Bridge,Being and preparing,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2210,2210,91086,114694,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,7/2/2018,2018/07/02-09:30,2018/07/02-09:33,2018/07/02-09:35,7/2/2018 9:36,2018/07/02-09:38,2018/07/02-09:43,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Expo intersection,Directing confined and transferring injured people,Missing,No Clouds,natural,Important,Limited,it is not determined yet,,,,
2211,2211,91102,114713,Ras Al Khaimah,Civil Defense Center - Riffa,The audience,7/2/2018,2018/07/02-20:10,2018/07/02-20:22,2018/07/02-20:26,7/2/2018 20:27,2018/07/02-20:35,2018/07/02-20:41,Transportation accidents,Deterioration,Light,Means of transport,car,Block 7,Fire cooling,governmental,No Clouds,natural,Normal,basic,Traffic accident,,,,
2212,2212,91106,114717,Abu Dhabi,Civil Defense Center - Al Wathba,Police and traffic,7/2/2018,2018/07/02-18:31,2018/07/02-20:54,2018/07/02-20:59,7/2/2018 21:35,2018/07/02-21:40,2018/07/02-22:00,Transportation accidents,A collision resulted in a fire,Cars,Means of transport,Methods and transport facilities,After the sealing bridge towards the eye,Fire fighting,Cars,No Clouds,natural,Important,basic,it is not determined yet,4,0,0,0
2213,2213,91142,114755,Sharjah,Civil Defense Center - Al -Sajaa,Police and traffic,7/4/2018,2018/07/04-16:12,2018/07/04-16:18,2018/07/04-16:22,7/4/2018 16:25,2018/07/04-16:27,2018/07/04-16:35,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Industrial chest,Talent,Cars,No Clouds,natural,Important,Limited,Traffic accident,,,,
2214,2214,91156,114770,Sharjah,Civil Defense Center - Al -Sajaa,Police and traffic,7/4/2018,2018/07/04-18:21,2018/07/04-18:26,2018/07/04-18:35,7/4/2018 18:40,2018/07/04-18:43,2018/07/04-18:48,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,The industrial journey near the Grand Mosque,Directing confined and transferring injured people,Cars,No Clouds,natural,Important,basic,Traffic accident,,,,
2215,2215,91166,114783,Ajman,Civil Defense Center - Al -Jarf,Police and traffic,7/5/2018,2018/07/05-02:17,2018/07/05-02:26,2018/07/05-02:35,7/5/2018 2:55,2018/07/05-03:01,2018/07/05-03:11,Transportation accidents,Clash,Cars,governmental,governmental,Sheikh Mohammed bin Zayed Street,take actions,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,,,,
2216,2216,91227,114848,Fujairah,Civil Defense Center - Dibba,Police and traffic,7/7/2018,2018/07/07-02:39,2018/07/07-02:55,2018/07/07-02:58,7/7/2018 3:40,2018/07/07-03:45,2018/07/07-04:10,Transportation accidents,Deterioration,Trucks,Public facilities and services,Public places and places,Al -Ghana District Roundabout,Directing confined and transferring injured people,Cars,No Clouds,natural,Important,basic,it is not determined yet,1,0,0,0
2217,2217,91231,114852,Ras Al Khaimah,Civil Defense Center - Northern Administration,The audience,7/7/2018,2018/07/07-09:16,2018/07/07-09:19,2018/07/07-09:23,7/7/2018 9:25,2018/07/07-09:27,2018/07/07-09:30,Transportation accidents,Deterioration,Missing,Public facilities and services,Public places and places,Missing,Separation of a battery,Missing,No Clouds,natural,Normal,basic,Traffic accident,,,,
2218,2218,91238,114859,Fujairah,Civil Defense Center - Administration,Police and traffic,7/7/2018,2018/07/07-15:36,2018/07/07-15:48,2018/07/07-15:50,7/7/2018 15:51,2018/07/07-15:55,2018/07/07-16:05,Transportation accidents,One hundredth,Cars,Public facilities and services,Public places and places,the village,Inspection,Missing,No Clouds,natural,unclassified,Limited,it is not determined yet,,,,
2219,2219,91287,114913,Sharjah,Civil Defense Center - Mawlh,Police and traffic,7/9/2018,2018/07/09-08:29,2018/07/09-08:39,2018/07/09-08:43,7/9/2018 8:46,2018/07/09-08:51,2018/07/09-09:13,Transportation accidents,A deterioration resulted in a fire,Light,Means of transport,Methods and transport facilities,Missing,Fire inspection,governmental,No Clouds,natural,Normal,basic,Delight,1,0,0,0
2220,2220,91308,114934,Ajman,Civil Defense Center - Administration,Police and traffic,7/10/2018,2018/07/10-12:52,2018/07/10-12:56,2018/07/10-13:15,7/10/2018 13:20,2018/07/10-13:30,2018/07/10-13:36,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Missing,rescue,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2221,2221,91309,114935,Ras Al Khaimah,Civil Defense Center - Kadra,he did not specify,7/10/2018,2018/07/10-13:09,2018/07/10-13:15,2018/07/10-13:16,7/10/2018 13:17,2018/07/10-13:32,2018/07/10-13:41,Transportation accidents,Deterioration,Trucks,Means of transport,Truck,Wadi Safni,Inspection,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,,,,
2222,2222,91352,114984,Sharjah,Civil Defense Center - Al Hamriyah,he did not specify,7/12/2018,2018/07/12-13:51,2018/07/12-14:05,2018/07/12-15:35,7/12/2018 15:44,2018/07/12-16:01,2018/07/12-16:05,Transportation accidents,Deterioration,trailer,Means of transport,Methods and transport facilities,Inside the port of Hamriyah,Being and preparing,Transmission,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2223,2223,91463,115106,Abu Dhabi,Civil Defense Center - Al -Shamkha,Police and traffic,7/16/2018,2018/07/16-16:36,2018/07/16-16:41,2018/07/16-16:45,7/16/2018 16:58,2018/07/16-17:12,2018/07/16-18:00,Transportation accidents,Deterioration,Trucks,Public facilities and services,Public places and places,The tall roundabout,existence,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2224,2224,91474,115117,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,7/17/2018,2018/07/17-13:45,2018/07/17-13:52,2018/07/17-14:00,7/17/2018 14:19,2018/07/17-14:24,2018/07/17-14:28,Transportation accidents,A collision resulted in a fire,Cars,governmental,governmental,Al -Barir towards Sharjah,Fire fighting,Cars,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2225,2225,91568,115270,Sharjah,Civil Defense Center - Mawlh,The audience,7/22/2018,2018/07/22-02:39,2018/07/22-02:46,2018/07/22-02:49,7/22/2018 3:03,2018/07/22-03:10,2018/07/22-03:16,Transportation accidents,Shocked,Cars,commercial,commercial,The red patch opposite the village of registration,Fire fighting,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2226,2226,91617,115319,Fujairah,Civil Defense Center - Masafi,Police and traffic,7/25/2018,2018/07/25-16:16,2018/07/25-16:20,2018/07/25-16:32,7/25/2018 16:42,2018/07/25-16:45,2018/07/25-16:52,Transportation accidents,One hundredth,Trucks,Means of transport,Truck,Dafta Street,Disturbing injured,Missing,No Clouds,natural,unclassified,basic,it is not determined yet,1,0,0,0
2227,2227,91830,115544,Ras Al Khaimah,Civil Defense Center - Al -Dakdakh,he did not specify,8/4/2018,2018/08/04-18:16,2018/08/04-18:24,2018/08/04-18:29,8/4/2018 18:30,2018/08/04-18:32,2018/08/04-18:35,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Missing,Missing,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2228,2228,91837,115551,Al Dhafra,Civil Defense Center - Port,Police and traffic,8/4/2018,2018/08/04-15:40,2018/08/04-15:56,2018/08/04-15:59,8/4/2018 16:19,2018/08/04-17:56,2018/08/04-18:12,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,The port/before the chapter of the Mughair in the direction of Abu Dhabi,Remove petroleum materials from the street,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2229,2229,91867,115583,Sharjah,Civil Defense Center - Mawlh,Police and traffic,8/5/2018,2018/08/05-22:31,2018/08/05-22:43,2018/08/05-22:50,8/5/2018 23:09,2018/08/05-23:33,2018/08/05-23:55,Transportation accidents,Clash,Cars,governmental,governmental,Al -Zubair Bridge,Ambulance and rescue,Cars,No Clouds,natural,Normal,medium,it is not determined yet,1,1,0,0
2230,2230,91873,115589,Abu Dhabi,Civil Defense Center - Al -Qubaisat,Police and traffic,8/6/2018,2018/08/06-13:12,2018/08/06-13:16,2018/08/06-13:24,8/6/2018 13:36,2018/08/06-13:50,2018/08/06-13:55,Transportation accidents,A collision resulted in a fire,Cars,Means of transport,Methods and transport facilities,Near the Judicial Department,Fire control and cooling,Missing,No Clouds,unclassified,unclassified,basic,it is not determined yet,,,,
2231,2231,91880,115598,Umm Al Quwain,Al -Aqran Center,Police and traffic,8/7/2018,2018/08/07-04:23,2018/08/07-04:25,2018/08/07-04:28,8/7/2018 4:29,2018/08/07-04:31,2018/08/07-04:33,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Sheikh Mohammed bin Zayed Street,Being and preparing,Cars,No Clouds,natural,Normal,Limited,Traffic accident,,,,
2232,2232,91942,115670,Fujairah,Civil Defense Center - Administration,Police and traffic,8/9/2018,2018/08/09-12:05,2018/08/09-12:10,2018/08/09-12:12,8/9/2018 12:15,2018/08/09-12:16,2018/08/09-12:26,Transportation accidents,One hundredth,he did not specify,Public facilities and services,Public places and places,Behind City Center Fujairah,Fire inspection,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2233,2233,92010,115741,Ajman,Civil Defense Center - Al -Jarf,Police and traffic,8/12/2018,2018/08/12-21:39,2018/08/12-21:50,2018/08/12-21:57,8/12/2018 21:59,2018/08/12-22:03,2018/08/12-22:13,Transportation accidents,Shocked,Light,Means of transport,Methods and transport facilities,Sheikh Mohammed bin Zayed Street,Inspection,Missing,I did not specify,unclassified,Normal,Limited,it is not determined yet,,,,
2234,2234,92042,115773,Umm Al Quwain,Civil Defense Center - Administration,The audience,8/14/2018,2018/08/14-08:56,2018/08/14-09:00,2018/08/14-09:08,8/14/2018 9:16,2018/08/14-09:19,2018/08/14-09:23,Transportation accidents,Deterioration,the person,Means of transport,Methods and transport facilities,"Mohammed bin Zayed Street, exit 90",Disturbing injured,Cars,No Clouds,natural,Important,medium,other reasons,1,1,0,0
2235,2235,92056,115791,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,8/14/2018,2018/08/14-23:06,2018/08/14-23:50,2018/08/15-00:08,8/15/2018 0:20,2018/08/15-00:22,2018/08/15-01:16,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Jabal Jais Street,Directing confined and transferring injured people,Missing,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2236,2236,92064,115806,Fujairah,Civil Defense Center - Dibba,Police and traffic,8/15/2018,2018/08/15-14:17,2018/08/15-14:24,2018/08/15-14:30,8/15/2018 14:35,2018/08/15-14:37,2018/08/15-14:45,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Roll,Directing confined and transferring injured people,Missing,No Clouds,natural,Important,medium,Traffic accident,2,1,0,0
2237,2237,92065,115807,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,8/15/2018,2018/08/15-14:48,2018/08/15-14:57,2018/08/15-14:59,8/15/2018 15:00,2018/08/15-15:01,2018/08/15-15:17,Transportation accidents,One hundredth,sidewalk,Public facilities and services,Public places and places,Shuhada Street,Inspection,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2238,2238,92120,115866,Sharjah,Civil Defense Center - Sunan,Police and traffic,8/17/2018,2018/08/17-08:09,2018/08/17-08:17,2018/08/17-08:20,8/17/2018 8:30,2018/08/17-08:32,2018/08/17-08:42,Transportation accidents,A collision resulted in a fire,Cars,governmental,governmental,"The second industrial, Sidana roundabout",Fire control and cooling,Cars,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2239,2239,92244,115993,Abu Dhabi,Civil Defense Center - Mossafah M14,Police and traffic,8/23/2018,2018/08/23-16:29,2018/08/23-16:33,2018/08/23-16:40,8/23/2018 16:46,2018/08/23-16:50,2018/08/23-17:00,Transportation accidents,Deterioration,Light,Means of transport,Methods and transport facilities,Main street,Disturbing injured,Refrigerators and air conditioners,No Clouds,natural,Normal,basic,Traffic accident,1,0,0,0
2240,2240,92302,116056,Umm Al Quwain,Civil Defense Center - Al -Madinah,The audience,8/26/2018,2018/08/26-17:37,2018/08/26-17:40,2018/08/26-17:44,8/26/2018 17:48,2018/08/26-17:56,2018/08/26-18:05,Transportation accidents,Shocked,Cars,Public facilities and services,Public places and places,Popularity of traffic,Fire fighting,Cars,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2241,2241,92365,116120,Fujairah,Civil Defense Center - Al -Taween,Civil defense departments and centers,8/29/2018,2018/08/29-16:53,2018/08/29-16:58,2018/08/29-17:03,8/29/2018 17:07,2018/08/29-17:10,2018/08/29-17:17,Transportation accidents,Shocked,Light,governmental,governmental,Sore,Fire control and cooling,Missing,No Clouds,natural,unclassified,basic,Thermal source,,,,
2242,2242,92388,116144,Fujairah,Civil Defense Center - Administration,Police and traffic,8/30/2018,2018/08/30-16:30,2018/08/30-16:44,2018/08/30-16:55,8/30/2018 17:00,2018/08/30-17:05,2018/08/30-17:20,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Al -Fajr/ Black,Directing confined and transferring injured people,Missing,No Clouds,Crowded,unclassified,basic,it is not determined yet,1,0,0,0
2243,2243,92444,116208,Fujairah,Civil Defense Center - Administration,Police and traffic,9/2/2018,2018/09/02-13:28,2018/09/02-13:39,2018/09/02-13:45,9/2/2018 13:53,2018/09/02-14:15,2018/09/02-14:30,Transportation accidents,Clash,Trucks,Means of transport,Methods and transport facilities,Al -Souda area next to Foubak,Control fire and rescue confined,Missing,No Clouds,Crowded,Important,basic,Traffic accident,1,0,0,0
2244,2244,92458,116223,Sharjah / Eastern Region,Civil Defense Center - Kalba,Police and traffic,9/2/2018,2018/09/02-23:41,2018/09/02-23:45,2018/09/02-23:48,9/2/2018 23:53,2018/09/02-23:55,2018/09/02-23:59,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,The main street is next to Bin Musa Pharmacy,Conquest,Cars,No Clouds,natural,Important,basic,it is not determined yet,,,,
2245,2245,92462,116227,Ajman,Civil Defense Center - Al -Jarf,Police and traffic,9/3/2018,2018/09/03-02:33,2018/09/03-02:39,2018/09/03-02:48,9/3/2018 2:50,2018/09/03-02:52,2018/09/03-02:58,Transportation accidents,Clash,Missing,governmental,governmental,Al Jarf Industrial 2,Ambulance and transfer of a person,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2246,2246,92486,116255,Dubai,Al -Rashidiya Center,Police and traffic,9/3/2018,2018/09/03-17:28,2018/09/03-17:36,2018/09/03-17:40,9/3/2018 21:00,2018/09/03-21:11,2018/09/03-21:32,Transportation accidents,Deterioration,Trucks,Means of transport,Truck,Deira - Ras Al -Khor - in exchange for facilitation,Being and preparing,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2247,2247,92602,116376,Al Dhafra,Civil Defense Center - Port,The audience,9/8/2018,2018/09/08-16:42,2018/09/08-17:30,2018/09/08-17:58,9/8/2018 18:00,2018/09/08-18:30,2018/09/08-19:29,Transportation accidents,A collision resulted in a fire,Buses,governmental,governmental,Before the Al -Zafra Directorate towards the goods,Cooling and suction smoke,Cars,No Clouds,natural,very important,basic,it is not determined yet,,,,
2248,2248,92609,116383,Sharjah / Eastern Region,Civil Defense Center - Khor Fakkan,Police and traffic,9/9/2018,2018/09/09-14:16,2018/09/09-14:21,2018/09/09-14:30,9/9/2018 14:40,2018/09/09-14:46,2018/09/09-14:50,Transportation accidents,Deterioration,Trucks,Public facilities and services,Public places and places,Al Sharq Region / Al -Mina Roundabout / Khorfakkan City,rescue,governmental,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2249,2249,92627,116401,Fujairah,Civil Defense Center - Administration,Police and traffic,9/10/2018,2018/09/10-12:45,2018/09/10-12:57,2018/09/10-12:59,9/10/2018 13:04,2018/09/10-13:06,2018/09/10-13:10,Transportation accidents,Clash,Cars,governmental,governmental,Black area,Pulling,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,,,,
2250,2250,92723,116504,Sharjah,Madame Unit,Police and traffic,9/14/2018,2018/09/14-12:56,2018/09/14-12:58,2018/09/14-13:02,9/14/2018 13:04,2018/09/14-13:17,2018/09/14-13:20,Transportation accidents,Deterioration,Gas cylinder,Means of transport,Methods and transport facilities,Al Madam Roundabout,Being and preparing,Supply,No Clouds,natural,Normal,Limited,it is not determined yet,,,,
2251,2251,92756,116538,Ras Al Khaimah,Civil Defense Center - Riffa,he did not specify,9/15/2018,2018/09/15-21:49,2018/09/15-21:56,2018/09/15-22:20,9/15/2018 23:25,2018/09/15-23:26,2018/09/15-23:28,Transportation accidents,Deterioration,he did not specify,residential,residential,The popularity of the new sleep,Fire control and cooling,Missing,No Clouds,natural,Normal,basic,other reasons,,,,
2252,2252,92764,116546,Fujairah,Civil Defense Center - Masafi,Police and traffic,9/16/2018,2018/09/16-06:32,2018/09/16-06:34,2018/09/16-06:38,9/16/2018 7:00,2018/09/16-07:14,2018/09/16-07:22,Transportation accidents,Deterioration,Trucks,Means of transport,Truck,couch,Disturbing injured,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,0,0
2253,2253,92780,116563,Abu Dhabi,Civil Defense Center - Al Wathba,Police and traffic,9/16/2018,2018/09/16-12:41,2018/09/16-12:48,2018/09/16-12:52,9/16/2018 13:01,2018/09/16-13:08,2018/09/16-13:18,Transportation accidents,Shocked,Cars,Means of transport,Methods and transport facilities,Missing,Fire control and cooling,Cars,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2254,2254,92856,116639,Al Dhafra,Civil Defense Center - Zayed City,The audience,9/20/2018,2018/09/20-18:04,2018/09/20-18:30,2018/09/20-18:36,9/20/2018 19:05,2018/09/20-19:25,2018/09/20-19:55,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,"After the Zayed City Bridge towards the city, with 10 km",take actions,Missing,No Clouds,natural,very important,basic,it is not determined yet,1,0,0,0
2255,2255,92890,116673,Ras Al Khaimah,Civil Defense Center - Riffa,Police and traffic,9/22/2018,2018/09/22-01:55,2018/09/22-02:01,2018/09/22-02:11,9/22/2018 2:18,2018/09/22-02:19,2018/09/22-02:40,Transportation accidents,Deterioration,Cars,Means of transport,car,Sheikh Mohammed bin Zayed Street near Al -Ittihad University,Separation of a battery,Missing,No Clouds,natural,Normal,basic,Traffic accident,,,,
2256,2256,92895,116678,Sharjah,Civil Defense Center - Mawlh,Police and traffic,9/22/2018,2018/09/22-08:00,2018/09/22-08:07,2018/09/22-08:20,9/22/2018 9:03,2018/09/22-09:19,2018/09/22-09:25,Transportation accidents,A deterioration resulted in a fire,Cars,governmental,governmental,"Behind the registration village, intersection 3",Fire fighting,Cars,No Clouds,natural,Normal,basic,it is not determined yet,2,0,0,0
2257,2257,92930,116723,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,9/23/2018,2018/09/23-18:27,2018/09/23-18:38,2018/09/23-18:41,9/23/2018 18:42,2018/09/23-18:44,2018/09/23-18:57,Transportation accidents,Deterioration,Cars,Means of transport,car,Al -Miah/ Al -Tuwain area,Inspection,Missing,No Clouds,natural,unclassified,Limited,it is not determined yet,,,,
2258,2258,92995,116791,Fujairah,Civil Defense Center - Administration,Police and traffic,9/26/2018,2018/09/26-01:11,2018/09/26-01:16,2018/09/26-01:19,9/26/2018 2:05,2018/09/26-02:06,2018/09/26-02:56,Transportation accidents,One hundredth,Cars,Industrial,Industrial,Blackness,take actions,Missing,No Clouds,Unpaved methods,unclassified,Limited,other reasons,,,,
2259,2259,93000,116796,Fujairah,Civil Defense Center - Administration,Police and traffic,9/26/2018,2018/09/26-03:32,2018/09/26-03:36,2018/09/26-03:41,9/26/2018 4:08,2018/09/26-04:11,2018/09/26-04:14,Transportation accidents,A deterioration resulted in a fire,Missing,governmental,governmental,You will be,take actions,Missing,No Clouds,natural,unclassified,Limited,Traffic accident,,,,
2260,2260,93004,116800,Umm Al Quwain,Civil Defense Center - Al -Madinah,Police and traffic,9/26/2018,2018/09/26-08:39,2018/09/26-08:44,2018/09/26-08:52,9/26/2018 8:55,2018/09/26-09:00,2018/09/26-09:07,Transportation accidents,Clash,the person,governmental,governmental,Ancient industrial,Disturbing injured,governmental,No Clouds,natural,Important,basic,Traffic accident,2,0,0,0
2261,2261,93014,116810,Ras Al Khaimah,Civil Defense Center - Kadra,The audience,9/26/2018,2018/09/26-17:36,2018/09/26-17:50,2018/09/26-17:59,9/26/2018 18:02,2018/09/26-18:03,2018/09/26-18:15,Transportation accidents,Deterioration,Missing,Public facilities and services,Public places and places,Al -Maliha Street,take actions,Missing,No Clouds,Crowded,very important,medium,Traffic accident,2,1,0,0
2262,2262,93085,116885,Fujairah,Civil Defense Center - Al -Madinah,The audience,9/30/2018,2018/09/30-15:23,2018/09/30-15:27,2018/09/30-15:28,9/30/2018 15:29,2018/09/30-15:50,2018/09/30-15:55,Transportation accidents,Deterioration,he did not specify,Means of transport,Methods and transport facilities,Next to City Center,Separation of a battery,Missing,No Clouds,Road works,unclassified,basic,it is not determined yet,1,0,0,0
2263,2263,93114,116918,Al Dhafra,Civil Defense Center - Port,Police and traffic,10/1/2018,2018/10/01-15:49,2018/10/01-16:00,2018/10/01-16:03,10/1/2018 16:05,2018/10/01-16:07,2018/10/01-16:20,Transportation accidents,One hundredth,Electricity column,Other places,Streets and squares,Al -Marafa City/ in front of the electricity portal,existence,Cars,No Clouds,natural,Normal,basic,it is not determined yet,1,0,0,0
2264,2264,93161,116967,Umm Al Quwain,Patch Center,Police and traffic,10/3/2018,2018/10/03-13:59,2018/10/03-14:05,2018/10/03-14:11,10/3/2018 14:15,2018/10/03-14:19,2018/10/03-14:24,Transportation accidents,One hundredth,the person,Means of transport,Methods and transport facilities,Emirates Street Exit 95,rescue,Specific,No Clouds,natural,Normal,basic,it is not determined yet,,,,
2265,2265,93188,116997,Fujairah,Civil Defense Center - Al -Madinah,The audience,10/4/2018,2018/10/04-12:35,2018/10/04-12:39,2018/10/04-12:49,10/4/2018 12:55,2018/10/04-12:58,2018/10/04-13:10,Transportation accidents,A collision resulted in a fire,Electricity column,governmental,governmental,Marishid behind the Bank of Melli Iran,take actions,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,,,,
2266,2266,93267,117080,Sharjah / Eastern Region,Civil Defense Center - Khor Fakkan,Police and traffic,10/7/2018,2018/10/07-17:21,2018/10/07-17:24,2018/10/07-17:41,10/7/2018 17:51,2018/10/07-17:55,2018/10/07-18:00,Transportation accidents,One hundredth,Trucks,Public facilities and services,Public places and places,Mediterranean area (Khorfakkan City),Directing confined and transferring injured people,Transmission,No Clouds,natural,Normal,basic,it is not determined yet,0,0,0,0
2267,2267,93274,117087,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/7/2018,2018/10/07-22:51,2018/10/07-22:59,2018/10/07-23:15,10/7/2018 23:35,2018/10/07-23:38,2018/10/07-23:46,Transportation accidents,Deterioration,Missing,Other places,Other places,After the UAE transportation,Separation of a battery,Missing,No Clouds,natural,Normal,basic,Traffic accident,,,,
2268,2268,93276,117089,Ajman,Civil Defense Center - Al -Jarf,Police and traffic,10/8/2018,2018/10/08-01:17,2018/10/08-01:23,2018/10/08-02:53,10/8/2018 3:06,2018/10/08-03:07,2018/10/08-03:11,Transportation accidents,Clash,Trucks,Means of transport,Methods and transport facilities,Sheikh Mohammed bin Zayed Street at the Emirates Towers,Directing confined and transferring injured people,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,1,0,0,0
2269,2269,93327,117144,Fujairah,Civil Defense Center - Administration,Police and traffic,10/10/2018,2018/10/10-06:57,2018/10/10-07:08,2018/10/10-07:11,10/10/2018 7:12,2018/10/10-07:13,2018/10/10-07:23,Transportation accidents,Deterioration,Cars,Other places,Other places,the village,Inspection,Missing,No Clouds,Road works,Normal,Limited,it is not determined yet,,,,
2270,2270,93330,117148,Eye,Civil Defense Center - Al -Zahir,Police and traffic,10/9/2018,2018/10/09-22:58,2018/10/09-23:03,2018/10/09-23:26,10/10/2018 0:45,2018/10/10-00:55,2018/10/10-01:05,Transportation accidents,A collision resulted in a fire,Other things,commercial,commercial,Trailer,Fire fighting,trade,No Clouds,natural,Normal,medium,it is not determined yet,1,0,0,0
2271,2271,93350,117168,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,10/11/2018,2018/10/11-04:54,2018/10/11-04:57,2018/10/11-05:04,10/11/2018 5:28,2018/10/11-05:32,2018/10/11-05:35,Transportation accidents,Deterioration,Trucks,Means of transport,Methods and transport facilities,Missing,Directing confined and transferring injured people,Cars,No Clouds,natural,Important,basic,it is not determined yet,,,,
2272,2272,93359,117177,Fujairah,Civil Defense Center - Administration,Civil defense departments and centers,10/11/2018,2018/10/11-15:15,2018/10/11-15:18,2018/10/11-15:35,10/11/2018 16:10,2018/10/11-16:12,2018/10/11-16:19,Transportation accidents,A collision resulted in a fire,Cars,governmental,governmental,You will be the roundabout,take actions,Missing,No Clouds,natural,Important,basic,Traffic accident,,,,
2273,2273,93405,117224,Sharjah,Civil Defense Center - Al -Sajaa,Police and traffic,10/13/2018,2018/10/13-20:06,2018/10/13-20:15,2018/10/13-20:24,10/13/2018 20:38,2018/10/13-20:40,2018/10/13-20:50,Transportation accidents,One hundredth,Light,Means of transport,Methods and transport facilities,"Emirates Street at the Al -Zubair tunnel, heading Umm Al Quwain",Rescue people,Cars,No Clouds,Crowded,Important,basic,it is not determined yet,1,0,0,0
